SOURCE_FEA,EVENTTYPE,STATION_NM,STATE,LON_SITE,LAT_SITE
14371500,StreamGage,"GRAVE CREEK AT PEASE BRIDGE,NEAR PLACER,OREG.",OR,-123.21228092,42.6415096
13152940,StreamGage,MALAD POWER FLUME NR BLISS ID,ID,-114.88728031,42.8649021
13024500,StreamGage,"COTTONWOOD CREEK NEAR SMOOTH, WY",WY,-110.89241645,42.61104036
10377000,StreamGage,"HONEY CREEK AT CHARLESTRAND RANCH NR PLUSH,OREG.",OR,-120.06773253,42.44988143
14309500,StreamGage,"WEST FORK COW CREEK NEAR GLENDALE, OR",OR,-123.61090714,42.80400356
13094500,StreamGage,CLEAR LAKES SPRING AT OUTLET       09S 14E 02DCC1S,ID,-114.77636944,42.66964167
14359000,StreamGage,"ROGUE RIVER AT RAYGOLD NEAR CENTRAL POINT, OR",OR,-122.98726781,42.43734597
13086000,StreamGage,MILNER LOW LIFT CANAL NR MILNER ID,ID,-114.01086074,42.519356
14338000,StreamGage,"ELK CREEK NEAR TRAIL, OR",OR,-122.74198671,42.67873642
13075700,StreamGage,SF POCATELLO CREEK NR POCATELLO ID,ID,-112.39355,42.88073333
13093095,StreamGage,ROCK CREEK NR MOUTH NR TWIN FALLS ID,ID,-114.5336525,42.62351975
13090998,StreamGage,BLUE LAKES SPRING PUMPING PLANT NR TWIN FALLS ID,ID,-114.46528889,42.61498889
13026500,StreamGage,SALT R NR THAYNE WYO,WY,-110.98132004,42.86936952
14327300,StreamGage,"ELK RIVER NEAR SIXES,OREG.",OR,-124.49010605,42.79566428
14309000,StreamGage,"COW CREEK NEAR AZALEA, OR",OR,-123.17894917,42.82484286
1307599910,StreamGage,SAWMILL CREEK NR ARBON ID,ID,-112.70471944,42.6521
13134560,StreamGage,BELL RAPIDS CANAL NR HAGERMAN ID,ID,-114.95144843,42.79240202
13091500,StreamGage,BLUE LAKES OUTLET NR TWIN FALLS ID  MV 15,ID,-114.47698342,42.60824321
13063000,StreamGage,BLACKFOOT RIVER AB RESERVOIR NR HENRY ID,ID,-111.50583333,42.81555556
14347000,StreamGage,LITTLE BUTTE CREEK AB EAGLE POINT OREG.,OR,-122.73448197,42.47484888
13090500,StreamGage,SNAKE RIVER NR TWIN FALLS ID,ID,-114.47617778,42.60754444
13080500,StreamGage,SOUTH SIDE MINIDOKA CANAL NR MINIDOKA ID,ID,-113.48879722,42.66271389
14331500,StreamGage,"SOUTH FORK POWER CANAL NEAR PROSPECT, OREG.",OR,-122.40530988,42.71373977
13153501,StreamGage,COMBINATION OF MALAD R AND MALAD POWER FLUME,ID,-114.90089174,42.84990208
10397000,StreamGage,"BRIDGE CREEK NR FRENCHGLEN, OREG.",OR,-118.85019922,42.8437715
14378200,StreamGage,"ILLINOIS RIVER NEAR AGNESS, OREG.",OR,-124.04425346,42.520664
14327150,StreamGage,"SIXES RIVER AT SIXES, OREG.",OR,-124.48455125,42.81788643
13168600,StreamGage,HOT SPRINGS DITCH BL HEADING NR BRUNEAU ID,ID,-115.71753611,42.77681389
13025500,StreamGage,CROW C NR FAIRVIEW WYO,WY,-111.00770443,42.67492873
13170300,StreamGage,BASIN MUTUAL CANAL NR CJ STRIKE DAM NR BRUNEAU ID,ID,-115.89154722,42.90521389
13108150,StreamGage,SALMON FALLS CREEK NR HAGERMAN ID,ID,-114.85527778,42.69638889
14337600,StreamGage,"ROGUE RIVER NEAR MCLEOD, OR",OR,-122.71504082,42.65540354
13072000,StreamGage,PORTNEUF RIVER NR PEBBLE ID,ID,-111.98051588,42.78658417
13027000,StreamGage,"STRAWBERRY CREEK NEAR BEDFORD, WYO.",WY,-110.90075926,42.9027031
14324600,StreamGage,"S FK COQUILLE R AB PANTHER CR, NR ILLAHE,OREG.",OR,-123.98731272,42.75816633
13024000,StreamGage,"SALT RIVER NEAR SMOOT, WY",WY,-110.92019561,42.60548482
13076500,StreamGage,AMERICAN FALLS RES AT AMERICAN FALLS ID,ID,-112.87999388,42.77907805
13025000,StreamGage,"SWIFT CREEK NEAR AFTON, WY",WY,-110.89777778,42.72611111
13094700,StreamGage,MUD CREEK NR BUHL ID,ID,-114.78866311,42.6593484
13169500,StreamGage,BIG JACKS CREEK NR BRUNEAU ID,ID,-115.98425869,42.78489515
10384000,StreamGage,"CHEWAUCAN RIVER NEAR PAISLEY,OREG.",OR,-120.56997216,42.68459668
13072500,StreamGage,PEBBLE CREEK NR PEBBLE ID,ID,-112.03041389,42.73268611
13093700,StreamGage,NIAGARA SPRINGS NR BUHL ID         09S 15E 10AA 1S,ID,-114.67449198,42.66323864
13079901,StreamGage,RAFT RIVER NR MOUTH AT RAFT RIVER ID,ID,-113.23825,42.59724444
13093550,StreamGage,CEDAR DRAW NR FILER ID,ID,-114.65425833,42.65371111
13071500,StreamGage,TOPONS CREEK NR CHESTERFIELD ID,ID,-112.00079512,42.84991739
13071000,StreamGage,PORTNEUF RIVER BL RES NR CHESTERFIELD ID,ID,-111.93412648,42.86658432
13108000,StreamGage,SALMON FALLS CREEK NR BUHL ID,ID,-114.88074444,42.59351944
13093000,StreamGage,ROCK CREEK BELOW POLELINE ROAD NR TWIN FALLS ID,ID,-114.52976303,42.59352052
13090370,StreamGage,FISH HATCHERY WASTE NR TWIN FALLS ID,ID,-114.43435,42.59185278
10382550,StreamGage,"CHEWAUCAN RIVER NR BUCK MTN, NEAR PAISLEY, OR.",OR,-120.57385772,42.48598752
13081500,StreamGage,SNAKE R NR MINIDOKA ID (AT HOWELLS FERRY),ID,-113.50027778,42.67277778
13076100,StreamGage,RATTLESNAKE CREEK NR POCATELLO ID,ID,-112.56192635,42.6999135
13077650,StreamGage,ROCK CREEK NR AMERICAN FALLS ID,ID,-113.01441389,42.65243333
13090000,StreamGage,SNAKE RIVER NR KIMBERLY ID,ID,-114.36005,42.59083056
13133500,StreamGage,BRAILSFORD DITCH NR HAGERMAN ID,ID,-114.86477823,42.76656914
13075500,StreamGage,PORTNEUF RIVER AT POCATELLO ID,ID,-112.46805556,42.87166667
13089500,StreamGage,DEVILS WASHBOWL SPRING NR KIMBERLY 10S 18E 04AAD1S,ID,-114.34694444,42.58972222
13153500,StreamGage,MALAD RIVER NR BLISS ID,ID,-114.90200306,42.86323537
14334700,StreamGage,"S FK ROGUE R SOUTH OF PROSPECT, OREG.",OR,-122.5067018,42.71234995
1307599660,StreamGage,WEST FORK CREEK NR ARBON ID,ID,-112.58859227,42.58796983
13152895,StreamGage,W DRAIN NR TUTTLE ID,ID,-114.86589062,42.86406886
14327250,StreamGage,"ELK RIVER ABV ANVIL CREEK, NEAR PORT ORFORD, OR",OR,-124.40149151,42.73510916
14359500,StreamGage,EVANS CR NR BYBEE SPRINGS NR ROGUE R OREG.,OR,-123.02338414,42.58040064
14372300,StreamGage,"ROGUE RIVER NEAR AGNESS, OR",OR,-124.05953333,42.58038667
